user_id,date,loan_amount,loan_term,interest_rate,income,credit_score,account_balance,business_revenue,num_employees,collateral_value,debt_to_income,region,is_commercial,default,model_decision,final_decision,officer_id,override_flag
U001,2013-01-01,132384,60,7.85,78483,327,8208,0,0,0,0.78,South,0,0,decline,decline,O004,0
U001,2013-02-01,176151,24,13.65,76257,639,14509,0,0,0,0.38,West,0,0,approve,approve,O008,0
U001,2013-03-01,88292,36,13.21,32985,630,5643,0,0,0,0.87,West,0,0,approve,approve,O004,0
U001,2013-04-01,88293,60,14.23,47255,805,8866,0,0,0,0.64,South,0,0,approve,approve,O006,0
U001,2013-05-01,178960,12,12.42,46869,647,6144,0,0,0,0.49,West,0,0,approve,approve,O005,0
U001,2013-06-01,138371,12,11.03,44418,772,12880,0,0,0,0.49,South,0,1,approve,approve,O003,0
U001,2013-07-01,76526,60,9.97,42557,530,15947,0,0,0,0.17,West,0,1,decline,decline,O010,0
U001,2013-08-01,127128,36,7.47,46579,489,11116,0,0,0,0.17,South,0,1,decline,approve,O002,1
U001,2013-09-01,76829,24,14.28,66718,524,10376,0,0,0,0.58,West,0,0,decline,decline,O009,0
U001,2013-10-01,76713,24,14.68,69888,684,5624,0,0,0,0.54,West,0,0,approve,decline,O010,1
U001,2013-11-01,112098,12,6.41,59967,676,6487,0,0,0,0.27,North,0,0,approve,approve,O009,0
U001,2013-12-01,10000,36,6.66,51479,582,4033,0,0,0,0.86,North,0,0,decline,decline,O001,0
U001,2014-01-01,13754,24,8.83,85509,558,-883,0,0,0,0.73,West,0,0,decline,decline,O010,0
U001,2014-02-01,71885,36,8.38,58168,658,8044,0,0,0,0.19,West,0,1,approve,approve,O003,0
U001,2014-03-01,49358,36,14.93,78741,755,8509,0,0,0,0.84,East,0,0,approve,approve,O008,0
U001,2014-04-01,115712,12,5.11,48613,710,20864,0,0,0,0.88,South,0,1,approve,decline,O006,1
U001,2014-05-01,54598,24,3.22,68274,617,17814,0,0,0,0.9,East,0,0,approve,approve,O005,0
U001,2014-06-01,29384,60,8.93,86841,524,12778,0,0,0,0.14,North,0,1,decline,approve,O005,1
U001,2014-07-01,173282,12,5.15,7824,533,20422,0,0,0,0.69,North,0,0,decline,approve,O006,1
U001,2014-08-01,88711,24,7.4,46898,673,16954,0,0,0,0.54,North,0,0,approve,approve,O007,0
U001,2014-09-01,103376,24,11.93,71874,771,-37,0,0,0,0.66,North,0,0,approve,approve,O001,0
U001,2014-10-01,28762,24,11.65,84256,532,15337,0,0,0,0.87,West,0,0,decline,decline,O009,0
U001,2014-11-01,72780,24,6.7,64062,412,13557,0,0,0,0.65,North,0,0,decline,approve,O003,1
U001,2014-12-01,105546,24,9.51,60991,796,8553,0,0,0,0.77,West,0,1,approve,approve,O004,0
U001,2015-01-01,42450,36,9.11,92211,741,2923,0,0,0,0.79,West,0,0,approve,approve,O010,0
U001,2015-02-01,118784,12,10.64,85479,567,12977,0,0,0,0.77,North,0,0,decline,decline,O001,0
